eclit1,eclit2,eclit3,finlit1,finlit2,finlit3,control,certainty_c,cb_c,workstatus_c,occupation_c,sector_c,income_c,education_c,leftright_c,age_c,gender_c,region_c,treat,certainty_t,cb_t,workstatus_t,occupation_t,sector_t,income_t,education_t,leftright_t,age_t,gender_t,region_t
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,Sì,6,100,Altro inattivo,,,"Oltre i 75,000",Laurea,5,51,Femmina,Molise
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Non so,Sì,10 (Molto sicuro),-200,Occupato,Impiegato,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 20,000 e i 30,000",Diploma,5,,Femmina,Abruzzo,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Non so,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,Non so,Più di 102 euro,Non so,Non so,,,,,,,,,,,,,Sì,1 (Poco sicuro),-200,Occupato,Insegnante,"Professioni intellettuali, libere e scientifiche (es.: dottore - insegnante - ingegnere - artista - espero contabile - commercialista)","Tra i 20,000 e i 30,000",Diploma,10 (destra),49,Femmina,Piemonte
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Esattamente 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Esattamente 102 euro,Esattamente come prima,Vera,Sì,5,-60,Occupato,Operaio,Operaio specializzato (es.: capo cantiere - meccanico - tipografo - fabbricante attrezzi e stampi - elettricista),"Tra i 15,000 e i 20,000",Diploma,5,42,Maschio,Calabria,,,,,,,,,,,,
Non so,Non so,Non so,Più di 102 euro,Non so,Non so,,,,,,,,,,,,,Sì,10 (Molto sicuro),100,Occupato,Macellaio,,"Tra i 3,000 e i 7,000",Diploma,9,30,Maschio,Campania
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Più di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,Non so,Esattamente 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Non so,Non so,Non so,Non so,Non so,Non so,,,,,,,,,,,,,Sì,10 (Molto sicuro),,Studente,,,"Oltre i 75,000",Post-Laurea,10 (destra),22,Femmina,Lazio
Solo per pagare le pensioni future,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Più di prima,Vera,,,,,,,,,,,,,Sì,6,-240,Studente,,,"Tra i 10,000 e i 15,000",Diploma,5,26,Femmina,Lazio
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Esattamente 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,Sì,7,-240,Occupato,Impiegato,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 20,000 e i 30,000",Laurea,7,52,,Sicilia
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,Non so,Più di 102 euro,Non so,Non so,Sì,3,-60,Occupato,Impiegato,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 10,000 e i 15,000",Diploma,5,44,Femmina,Campania,,,,,,,,,,,,
Solo per pagare le pensioni future,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,No,10 (Molto sicuro),-60,Occupato,responsabile tecnico delle revisioni auto e moto,Operaio specializzato (es.: capo cantiere - meccanico - tipografo - fabbricante attrezzi e stampi - elettricista),"Tra i 20,000 e i 30,000",Diploma,6,46,Maschio,Abruzzo
Sia per pagare le pensioni future che le pensioni attuali,Non so,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Non so,Non so,Non so,Non so,Non so,,,,,,,,,,,,,No,8,-60,Occupato,Ottico,Non so,"Tra i 30,000 e i 40,000",Diploma,5,62,Maschio,Piemonte
Non so,Non so,Non so,Non so,Non so,Non so,,,,,,,,,,,,,No,10 (Molto sicuro),-60,Occupato,Badante,Non so,"Meno di 3,000",Media Inferiore,10 (destra),53,Femmina,Sardegna
Solo per pagare le pensioni future,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Più di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Meno di 102 euro,Esattamente come prima,Falsa,,,,,,,,,,,,,Sì,3,-200,In cerca di lavoro,,,"Tra i 10,000 e i 15,000",Media Inferiore,2,39,Maschio,Lombardia
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Esattamente 102 euro,Esattamente come prima,Vera,Sì,8,100,Occupato,Militare,Lavoratore semi qualificato (es.: muratore - autista di autobus - operaio industria conserviera - carpentiere - lattoniere - panettiere),"Tra i 40,000 e i 50,000",Diploma,7,40,Maschio,Sardegna,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,Non so,Più di 102 euro,Non so,Non so,Sì,9,160,Altro inattivo,,,"Tra i 15,000 e i 20,000",Diploma,5,45,Femmina,Campania,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Non so,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,Sì,10 (Molto sicuro),-60,Occupato,commerciante,Settore vendite (es.: venditore - negoziante - commesso - assicuratore - rappresentante),"Tra i 30,000 e i 40,000",Diploma,8,52,Maschio,Lombardia,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Esattamente 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Esattamente 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,Sì,9,100,Occupato,Menager,"Direttori, funzioni dirigenti nell'amministrazione (es.: banchiere - direttore di grande azienda - consigliere di stato - dirigente sindacale)","Tra i 7,000 e i 10,000",Laurea,3,27,Maschio,Marche
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,Sì,8,-200,Occupato,barman,Settore servizi (es.: ristoratore - agente di polizia - cameriere - portinaio - parrucchiere - militare sottoufficiale),"Tra i 15,000 e i 20,000",Diploma,8,24,Maschio,Lombardia,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Esattamente 102 euro,Più di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,No,10 (Molto sicuro),-200,Occupato,impiegato,"Professioni intellettuali, libere e scientifiche (es.: dottore - insegnante - ingegnere - artista - espero contabile - commercialista)","Tra i 20,000 e i 30,000",Laurea,7,36,Femmina,Campania,,,,,,,,,,,,
Non so,Non so,Non so,Non so,Non so,Non so,,,,,,,,,,,,,No,,-60,Occupato,Nulla,Non so,"Oltre i 75,000",Nessun titolo,,35,,Liguria
Solo per pagare le pensioni future,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Più di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,Sì,7,100,Occupato,Risorse umane,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 20,000 e i 30,000",Diploma,9,58,Maschio,Liguria
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Non so,Falsa,,,,,,,,,,,,,Sì,8,160,In cerca di lavoro,,,"Meno di 3,000",Post-Laurea,7,38,Femmina,Lazio
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Più di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Più di 102 euro,Non so,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,Sì,5,-60,Occupato,avvocato,"Professioni intellettuali, libere e scientifiche (es.: dottore - insegnante - ingegnere - artista - espero contabile - commercialista)","Tra i 20,000 e i 30,000",Laurea,3,51,Maschio,Campania
Sia per pagare le pensioni future che le pensioni attuali,Non so,Non so,Più di 102 euro,Non so,Non so,No,10 (Molto sicuro),100,Occupato,Operaio ,Operaio specializzato (es.: capo cantiere - meccanico - tipografo - fabbricante attrezzi e stampi - elettricista),"Tra i 15,000 e i 20,000",Diploma,5,35,Maschio,Campania,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,Non so,Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Meno di 102 euro,Più di prima,Vera,Sì,6,-60,Occupato,funzionario finanziario,"Direttori, funzioni dirigenti nell'amministrazione (es.: banchiere - direttore di grande azienda - consigliere di stato - dirigente sindacale)","Tra i 50,000 e i 75,000",Post-Laurea,10 (destra),38,Maschio,Lombardia,,,,,,,,,,,,
Solo per pagare le pensioni future,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Esattamente 102 euro,Esattamente come prima,Non so,Sì,8,100,Pensionato da lavoro,,,"Tra i 20,000 e i 30,000",Media Inferiore,1,62,Maschio,Toscana,,,,,,,,,,,,
Non so,I consumatori pagheranno prezzi più alti per i prodotti,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Meno di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,I consumatori pagheranno prezzi più alti per i prodotti,Non so,Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,Sì,5,100,Occupato,Coordinatore infermieristico,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 20,000 e i 30,000",Post-Laurea,3,53,Femmina,Lombardia
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Esattamente 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,Non so,Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Non so,Non so,Più di 102 euro,Non so,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Esattamente 102 euro,Esattamente come prima,Falsa,Sì,4,-200,In cerca di lavoro,,,"Tra i 3,000 e i 7,000",Media Inferiore,5,44,Femmina,Piemonte,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,Sì,9,-200,Occupato,operaio,Operaio specializzato (es.: capo cantiere - meccanico - tipografo - fabbricante attrezzi e stampi - elettricista),"Tra i 15,000 e i 20,000",Diploma,5,38,Maschio,Sicilia
Solo per pagare le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,Non so,Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni attuali,Il costo di produzione dei prodotti scenderà,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Non so,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Più di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,Non so,Più di 102 euro,Meno di prima,Non so,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un calo dei salari e dell'occupazione dei nativi non altamente qualificati, ma quest'ultimo sarebbe compensato dal generale aumento di salari e occupazione nel lungo periodo",Più di 102 euro,Più di prima,Vera,,,,,,,,,,,,,,,,,,,,,,,,
Solo per pagare le pensioni future,I consumatori pagheranno prezzi più alti per i prodotti,"I lavoratori nativi perdono, in termini di salari e occupazione,  sia nel breve periodo che nel lungo periodo in tutti i settori",Esattamente 102 euro,Esattamente come prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Il costo di produzione dei prodotti scenderà,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Meno di 102 euro,Meno di prima,Falsa,,,,,,,,,,,,,,,,,,,,,,,,
Sia per pagare le pensioni future che le pensioni attuali,Le opportunità di lavoro in industrie esportatrici aumenteranno,"Nel breve periodo potrebbe esserci un aumento dei salari e dell'occupazione dei nativi non altamente qualificati , ma quest'ultimo sarebbe compensato da un generale calo di salari e occupazione nel lungo periodo",Più di 102 euro,Esattamente come prima,Vera,,,,,,,,,,,,,Sì,7,100,Occupato,Impiegato ,Settore impiegatizio (es.: segretario - impiegato d'ufficio - capo servizio - contabile),"Tra i 30,000 e i 40,000",Post-Laurea,0 (sinistra),26,Femmina,Puglia
